Регион;Timezone;Координаты;Страна
Краснодарский край;Europe/Moscow;45.6415289, 39.7055977;Россия
Ростовская обл.;Europe/Moscow;47.6853247, 41.8258952;Россия
Тверская обл.;Europe/Moscow;57.0021654, 33.9853142;Россия
Челябинская обл.;Asia/Yekaterinburg;54.43194219999999, 60.87889629999999;Россия
Свердловская обл.;Asia/Yekaterinburg;59.007735, 61.9316226;Россия
Кемеровская обл.;Asia/Krasnoyarsk;54.7574648, 87.4055288;Россия
г. Москва * Московская область;Europe/Moscow;55.755826, 37.6173;Россия
Республика Тыва;Asia/Krasnoyarsk;51.8872669, 95.62601719999999;Россия
Алтайский край;Asia/Krasnoyarsk;51.7936298, 82.6758596;Россия
Саратовская обл.;Europe/Saratov;51.83692629999999, 46.7539397;Россия
Белгородская обл.;Europe/Moscow;50.71069259999999, 37.7533377;Россия
Волгоградская обл.;Europe/Volgograd;49.7604522, 45;Россия
Камчатский край;Asia/Kamchatka;61.43439809999999, 166.7884131;Россия
Самарская обл.;Europe/Samara;53.41838389999999, 50.4725528;Россия
Республика Адыгея;Europe/Moscow;44.8229155, 40.1754463;Россия
Кабардино-Балкарская Республика;Europe/Moscow;43.3932469, 43.5628498;Россия
Карачаево-Черкесская Республика;Europe/Moscow;43.8845143, 41.730394;Россия
Республика Северная Осетия - Алания;Europe/Moscow;43.0451302, 44.2870972;Россия
Чеченская Республика;Europe/Moscow;43.4023301, 45.7187468;Россия
Республика Ингушетия;Europe/Moscow;43.4051698, 44.82029989999999;Россия
Смоленская обл.;Europe/Moscow;54.9882994, 32.6677378;Россия
Воронежская обл.;Europe/Moscow;50.8589713, 39.8644375;Россия
Пензенская обл.;Europe/Moscow;53.1412105, 44.0940048;Россия
Республика Татарстан;Europe/Moscow;55.1802364, 50.7263945;Россия
Чувашская Республика;Europe/Moscow;55.55959920000001, 46.9283536;Россия
Чукотский АО;Asia/Anadyr;65.6298355, 171.6952159;Россия
Хабаровский край;Asia/Vladivostok;50.5888431, 135;Россия
Калининградская обл.;Europe/Kaliningrad;54.8235292, 21.4816163;Россия
Брянская обл.;Europe/Moscow;53.0408599, 33.2690899;Россия
Курганская обл.;Asia/Yekaterinburg;55.4481548, 65.11809749999999;Россия
Ханты-Мансийский АО - Югра;Asia/Yekaterinburg;62.2287062, 70.6410058;Россия
Ямало-Ненецкий АО;Asia/Yekaterinburg;66.0653057, 76.9345194;Россия
Магаданская обл.;Asia/Magadan;62.66434169999999, 153.9149909;Россия
Еврейская автономная обл.;Asia/Vladivostok;48.4808147, 131.7657367;Россия
Сахалинская обл.;Asia/Magadan;49.9807847, 143.3738129;Россия
Ульяновская обл.;Europe/Samara;53.9793357, 47.7762426;Россия
Республика Карелия;Europe/Moscow;63.15587019999999, 32.9905552;Россия
г. Москва и Московская область;Europe/Moscow;55.755826, 37.6173;Россия
Владимирская обл.;Europe/Moscow;56.1553465, 40.5926685;Россия
Орловская обл.;Europe/Moscow;52.7856414, 36.9242344;Россия
Тамбовская обл.;Europe/Moscow;52.6416589, 41.4216451;Россия
Вологодская обл.;Europe/Moscow;59.8706711, 40.6555411;Россия
Кировская обл.;Europe/Moscow;58.4198529, 50.2097248;Россия
Калужская обл.;Europe/Moscow;54.3872666, 35.1889094;Россия
Липецкая обл.;Europe/Moscow;52.5264702, 39.2032269;Россия
Рязанская обл.;Europe/Moscow;54.3875964, 41.259566;Россия
г. Санкт-Петербург и Ленинградская область;Europe/Moscow;60.0793208, 31.8926644;Россия
Омская обл.;Asia/Omsk;55.0554669, 73.3167343;Россия
Ставропольский край;Europe/Moscow;44.6680993, 43.520214;Россия
Томская обл.;Asia/Novosibirsk;58.8969882, 82.67654999999999;Россия
Иркутская обл.;Asia/Irkutsk;56.13214199999999, 103.948625;Россия
Архангельская обл.;Europe/Moscow;63.2852803, 42.5884191;Россия
Мурманская обл.;Europe/Moscow;67.84426739999999, 35.0884101;Россия
Республика Коми;Europe/Moscow;63.8630539, 54.8312689;Россия
Псковская обл.;Europe/Moscow;56.7708599, 29.094009;Россия
Республика Бурятия;Asia/Irkutsk;54.83311459999999, 112.4060529;Россия
Красноярский край;Asia/Krasnoyarsk;64.24797579999999, 95.11041759999999;Россия
Забайкальский край;Asia/Yakutsk;53.0928771, 116.967656;Россия
Корякский округ|Камчатский край;Asia/Kamchatka;61.43439809999999, 166.7884131;Россия
Республика Калмыкия;Europe/Moscow;46.18671759999999, 45;Россия
Республика Алтай;Asia/Krasnoyarsk;50.6181924, 86.2199308;Россия
Амурская обл.;Asia/Yakutsk;54.60350649999999, 127.4801721;Россия
г. Санкт-Петербург * Ленинградская область;Europe/Moscow;59.9310584, 30.3609097;Россия
Республика Дагестан;Europe/Moscow;42.14318859999999, 47.0949799;Россия
Ивановская обл.;Europe/Moscow;57.1056854, 41.4830084;Россия
Ярославская обл.;Europe/Moscow;57.8991523, 38.8388633;Россия
Оренбургская обл.;Asia/Yekaterinburg;51.76340260000001, 54.6188188;Россия
Республика Марий Эл;Europe/Moscow;56.438457, 47.9607757;Россия
Республика Мордовия;Europe/Moscow;54.2369441, 44.0683969;Россия
Удмуртская Республика;Europe/Samara;57.0670218, 53.0277948;Россия
Астраханская обл.;Europe/Samara;46.1321166, 48.0610115;Россия
Москва и Московская область;Europe/Moscow;55.340396, 38.2917651;Россия
Новосибирская обл.;Asia/Novosibirsk;55.4467133, 80.1043924;Россия
Приморский край;Asia/Vladivostok;45.0525641, 135;Россия
Республика Башкортостан;Asia/Yekaterinburg;54.2312172, 56.1645257;Россия
Тюменская обл.;Asia/Yekaterinburg;56.9634387, 66.948278;Россия
Нижегородская обл.;Europe/Moscow;55.7995159, 44.0296769;Россия
Республика Хакасия;Asia/Krasnoyarsk;53.0452281, 90.3982145;Россия
Новгородская обл.;Europe/Moscow;58.2427552, 32.5665191;Россия
Костромская обл.;Europe/Moscow;58.5501069, 43.9541103;Россия
Тульская обл.;Europe/Moscow;54.163768, 37.5649507;Россия
Курская обл.;Europe/Moscow;51.76340260000001, 35.3811812;Россия
Ханты - Мансийский - Югра АО;Asia/Yekaterinburg;62.2287062, 70.6410058;Россия
Пермский край;Asia/Yekaterinburg;58.8231929, 56.5872481;Россия
Архангельская область и Ненецкий автономный округ;Europe/Moscow;63.2852803, 42.5884191;Россия
Республика Карачаево-Черкесская;Europe/Moscow;43.8845143, 41.730394;Россия
Республика Кабардино-Балкарская;Europe/Moscow;43.3932469, 43.5628498;Россия
Республика Чеченская;Europe/Moscow;43.4023301, 45.7187468;Россия
Республика Удмуртская;Europe/Samara;57.0670218, 53.0277948;Россия
Ненецкий АО;Europe/Moscow;67.6078337, 57.63383309999999;Россия
Московская область * Москва|Московская область * Москва;Europe/Moscow;55.45375285988239, 37.05284835769984;Россия
Республика Саха /Якутия/;Asia/Yakutsk;66.7613451, 124.1237531;Россия
г. Сочи|Краснодарский край;Europe/Moscow;43.60280789999999, 39.7341543;Россия
Тюменская область;Asia/Yekaterinburg;56.9634387, 66.948278;Россия
Чувашская Республика - Чувашия;Europe/Moscow;55.55959920000001, 46.9283536;Россия
Архангельская область * Ненецкий автономный округ;Europe/Moscow;67.6078337, 57.63383309999999;Россия
Республика Крым * г. Севастополь;Europe/Simferopol;44.61665, 33.525367;Россия
Российская Федерация;Asia/Krasnoyarsk;61.52401, 105.318756;Россия
Сургутский район * г. Сургут;Asia/Yekaterinburg;61.2545849, 73.39616989999999;Россия
г. Норильск|Красноярский край;Asia/Krasnoyarsk;69.35579, 88.18929380000002;Россия
г. Псков|Псковская обл.;Europe/Moscow;57.8166994, 28.3344734;Россия
Республика Крым и г. Севастополь;Europe/Simferopol;44.61665, 33.525367;Россия
Республика Крым;Europe/Simferopol;44.952117, 34.102417;Россия
г. Севастополь;Europe/Simferopol;44.61665, 33.525367;Севастополь
Ханты-Мансийский автономный округ - Югра;Asia/Yekaterinburg;62.2287062, 70.6410058;Россия
р-ны Абзелиловский и Белорецкий|Абзелиловский район * Белорецкий район;Asia/Yekaterinburg;53.9675527, 58.41007159999999;Россия
